API or Message Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Platform Notes,History,Unicode,Status as of 10/28
OleCreateFromFile,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleCreateFromTemplate,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleCreateInvisible,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleCreateLinkFromClip,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleCreateLinkFromFile,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleDelete,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
OleDraw,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
OleEnumFormats,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,Available
OleEnumObjects,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
OleEqual,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
OleExecute,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
OleGetData,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
OleGetLinkUpdateOptions,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
OleIsDcMeta,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
OleLoadFromStream,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
OleLockServer,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
OleObjectConvert,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
OleQueryBounds,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
OleQueryClientVersion,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available,,,,,,,,,,,,,,
