ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|null|,|ondataavailable|,|/workshop/author/dhtml/reference/events/ondataavailable.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires periodically as data arrives from data source objects that asynchronously transmit their data.|
|null|,|ondatasetchanged|,|/workshop/author/dhtml/reference/events/ondatasetchanged.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the data set exposed by a data source object changes.|
|null|,|ondatasetcomplete|,|/workshop/author/dhtml/reference/events/ondatasetcomplete.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires to indicate that all data is available from the data source object.|
|null|,|ondblclick|,|/workshop/author/dhtml/reference/events/ondblclick.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user double-clicks the &lt;OBJECT&gt;.|
|null|,|ondrag|,|/workshop/author/dhtml/reference/events/ondrag.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires on the source object continuously during a drag operation.|
|null|,|ondragend|,|/workshop/author/dhtml/reference/events/ondragend.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires on the source object when the user releases the mouse at the close of a drag operation.|
|null|,|ondragenter|,|/workshop/author/dhtml/reference/events/ondragenter.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires on the target element when the user drags the &lt;OBJECT&gt; to a valid drop target.|
|null|,|ondragleave|,|/workshop/author/dhtml/reference/events/ondragleave.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires on the target object when the user moves the mouse out of a valid drop target during a drag operation.|
|null|,|ondragover|,|/workshop/author/dhtml/reference/events/ondragover.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires on the target element continuously while the user drags the &lt;OBJECT&gt; over a valid drop target.|
|null|,|ondragstart|,|/workshop/author/dhtml/reference/events/ondragstart.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires on the source object when the user starts to drag a text selection or selected object.|
|null|,|ondrop|,|/workshop/author/dhtml/reference/events/ondrop.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires on the target object when the mouse button is released during a drag-and-drop operation.|
|null|,|onerror|,|/workshop/author/dhtml/reference/events/onerror.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when an error occurs during &lt;OBJECT&gt; loading.|
|null|,|onfocus|,|/workshop/author/dhtml/reference/events/onfocus.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the &lt;OBJECT&gt; receives the focus.|
|null|,|onkeydown|,|/workshop/author/dhtml/reference/events/onkeydown.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user presses a key.|
|null|,|onkeypress|,|/workshop/author/dhtml/reference/events/onkeypress.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user presses an alphanumeric key.|
|null|,|onkeyup|,|/workshop/author/dhtml/reference/events/onkeyup.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user releases a key.|
|null|,|onlosecapture|,|/workshop/author/dhtml/reference/events/onlosecapture.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the &lt;OBJECT&gt; loses the mouse capture.|
|null|,|onpropertychange|,|/workshop/author/dhtml/reference/events/onpropertychange.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when a property changes on the &lt;OBJECT&gt;.|
|null|,|onreadystatechange|,|/workshop/author/dhtml/reference/events/onreadystatechange.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the state of &lt;OBJECT&gt; has changed.|
|null|,|onresize|,|/workshop/author/dhtml/reference/events/onresize.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the size of the &lt;OBJECT&gt; is about to change.|
|null|,|onrowenter|,|/workshop/author/dhtml/reference/events/onrowenter.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires to indicate that the current row has changed in the data source and new data values are available on the &lt;OBJECT&gt;.|
|null|,|onrowexit|,|/workshop/author/dhtml/reference/events/onrowexit.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires just before the data source control changes the current row in the &lt;OBJECT&gt;.|
|null|,|onrowsdelete|,|/workshop/author/dhtml/reference/events/onrowsdelete.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when rows are about to be deleted from the recordset.|
|null|,|onrowsinserted|,|/workshop/author/dhtml/reference/events/onrowsinserted.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires just after new rows are inserted in the current recordset.|
