DlgDirListComboBox,widened,Ansi and Unicode,Y,user32.lib
DlgDirSelect,dropped,,N,
DlgDirSelectComboBox,dropped,,N,
DlgDirSelectComboBoxEx,widened,Ansi and Unicode,Y,user32.lib
DlgDirSelectEx,widened,Ansi and Unicode,Y,user32.lib
DocumentProperties,new,Ansi and Unicode,N,winspool.lib
DOS3Call,dropped,,N,
DosDateTimeToFileTime,new,,Y,kernel32.lib
double_array_from_ndr,new,,N,rpcrt4.lib
double_from_ndr,new,,N,rpcrt4.lib
DPtoLP,widened,,Y,gdi32.lib
DragAcceptFiles,widened,,Y,shell32.lib
DragDetect,new,,N,user32.lib
DragFinish,widened,,Y,shell32.lib
DragObject,new,,N,user32.lib
DragQueryFile,widened,Ansi and Unicode,Y,shell32.lib
DragQueryPoint,widened,,Y,shell32.lib
DrawEscape,new,,N,gdi32.lib
DrawFocusRect,widened,,Y,user32.lib
DrawIcon,widened,,Y,user32.lib
DrawMenuBar,widened,,Y,user32.lib
DrawText,widened,Ansi and Unicode,Y,user32.lib
DriverCallback,new,,Y,winmm.lib
DrvGetModuleHandle,new,,Y,winmm.lib
DuplicateHandle,new,,Y,kernel32.lib
DuplicateIcon,new,,N,shell32.lib
DuplicateToken,new,,N,advapi32.lib
Ellipse,widened,,Y,gdi32.lib
EmptyClipboard,widened,,Y,user32.lib
EnableCommNotification,new,,N,macro
EnableHardwareInput,widened,,Y,macro
EnableMenuItem,widened,,Y,user32.lib
EnableScrollBar,widened,,Y,user32.lib
EnableWindow,widened,,Y,user32.lib
EndDeferWindowPos,widened,,Y,user32.lib
EndDialog,widened,,Y,user32.lib
EndDoc,widened,,Y,gdi32.lib
EndDocPrinter,new,,N,winspool.lib
EndPage,widened,,Y,gdi32.lib
EndPagePrinter,new,,N,winspool.lib
EndPaint,widened,,Y,user32.lib
EndPath,new,,N,gdi32.lib
EndUpdateResource,new,Ansi and Unicode,N,kernel32.lib
EnterCriticalSection,new,,Y,kernel32.lib
enum_from_ndr,new,,N,rpcrt4.lib
EnumChildWindows,widened,,Y,user32.lib
EnumClipboardFormats,widened,,Y,user32.lib
EnumDependentServices,new,Ansi and Unicode,N,advapi32.lib
EnumDesktops,new,,N,macro
EnumDisplayDeviceModes,new,Ansi and Unicode,N,user32.lib
EnumDisplayDevices,new,Ansi and Unicode,N,user32.lib
EnumEnhMetaFile,new,,N,gdi32.lib
EnumFontFamilies,widened,Ansi and Unicode,Y,gdi32.lib
EnumFontFamProc,new,,Y,macro
EnumFonts,widened,Ansi and Unicode,Y,gdi32.lib
EnumForms,new,Ansi and Unicode,N,winspool.lib
EnumJobs,new,Ansi and Unicode,N,winspool.lib
EnumMetaFile,widened,,Y,gdi32.lib
EnumMonitors,new,Ansi and Unicode,N,winspool.lib
EnumNearestFonts,new,,N,macro
EnumObjects,widened,,Y,gdi32.lib
EnumPorts,new,Ansi and Unicode,N,winspool.lib
EnumPrinterDrivers,new,Ansi and Unicode,N,winspool.lib
EnumPrinters,new,Ansi and Unicode,N,winspool.lib
