ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|null|,|lastChild|,|/workshop/author/dhtml/reference/properties/lastChild.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves a reference to the last child in the <a href="/workshop/author/dhtml/reference/collections/childNodes.htm">childNodes</a> collection of an object.|
|null|,|nextSibling|,|/workshop/author/dhtml/reference/properties/nextSibling.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves a reference to the next child of the parent for the specified object.|
|null|,|nodeName|,|/workshop/author/dhtml/reference/properties/nodeName.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the name of a particular type of node.|
|null|,|nodeType|,|/workshop/author/dhtml/reference/properties/nodeType.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the type of the requested node.|
|null|,|nodeValue|,|/workshop/author/dhtml/reference/properties/nodeValue.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the value of a node.|
|null|,|offsetHeight|,|/workshop/author/dhtml/reference/properties/offsetHeight.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the height of the &lt;EMBED&gt; relative to the layout or coordinate parent, as specified by the <a href="/workshop/author/dhtml/reference/properties/offsetParent.htm">offsetParent</a> property.|
|null|,|offsetLeft|,|/workshop/author/dhtml/reference/properties/offsetLeft.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the calculated left position of the &lt;EMBED&gt; relative to the layout or coordinate parent, as specified by the <a href="/workshop/author/dhtml/reference/properties/offsetParent.htm">offsetParent</a> property.|
|null|,|offsetParent|,|/workshop/author/dhtml/reference/properties/offsetParent.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves a reference to the container object that defines the <A HREF="/workshop/author/dhtml/reference/properties/offsetTop.htm">offsetTop</A> and <A HREF="/workshop/author/dhtml/reference/properties/offsetLeft.htm">offsetLeft</A> properties of the object.|
|null|,|offsetTop|,|/workshop/author/dhtml/reference/properties/offsetTop.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the calculated top position of the &lt;EMBED&gt; relative to the layout or coordinate parent, as specified by the <a href="/workshop/author/dhtml/reference/properties/offsetParent.htm">offsetParent</a> property.|
|null|,|offsetWidth|,|/workshop/author/dhtml/reference/properties/offsetWidth.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the width of the &lt;EMBED&gt; relative to the layout or coordinate parent, as specified by the <a href="/workshop/author/dhtml/reference/properties/offsetParent.htm">offsetParent</a> property.|
|null|,|outerHTML|,|/workshop/author/dhtml/reference/properties/outerHTML.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the &lt;EMBED&gt; and its content in HTML.|
|null|,|outerText|,|/workshop/author/dhtml/reference/properties/outerText.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the text of the &lt;EMBED&gt;.|
|null|,|palette|,|/workshop/author/dhtml/reference/properties/palette.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the palette used for the embedded document.|
|null|,|parentElement|,|/workshop/author/dhtml/reference/properties/parentElement.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves the parent object in the object hierarchy.|
|null|,|parentNode|,|/workshop/author/dhtml/reference/properties/parentNode.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves the parent object in the document hierarchy.|
|null|,|parentTextEdit|,|/workshop/author/dhtml/reference/properties/parentTextEdit.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves the container object in the document hierarchy that can be used to create a <A HREF="/workshop/author/dhtml/reference/objects/obj_TextRange.htm">textRange</A> containing the original &lt;EMBED&gt;.|
|PLUGINSPAGE|,|pluginspage|,|/workshop/author/dhtml/reference/properties/pluginspage.htm|,2,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the URL of the plug-in used to view an embedded document.|
|null|,|previousSibling|,|/workshop/author/dhtml/reference/properties/previousSibling.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves a reference to the previous child of the parent for the specified object.|
|null|,|readyState|,|/workshop/author/dhtml/reference/properties/readyState.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the current state of the &lt;EMBED&gt; being downloaded.|
|null|,|recordNumber|,|/workshop/author/dhtml/reference/properties/recordNumber.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the ordinal record from the data set that generated the &lt;EMBED&gt;.|
|null|,|runtimeStyle|,|/workshop/author/dhtml/reference/objects/runtimeStyle.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,1,|Represents the cascaded format and style of the &lt;EMBED&gt; that overrides the format and style specified in global style sheets, inline styles, and HTML attributes.|
|null|,|scopeName|,|/workshop/author/dhtml/reference/properties/scopeName.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the <A HREF="/xml/xmlguide/namespaces-overview.htm">namespace</A> defined for the element.|
|null|,|scrollHeight|,|/workshop/author/dhtml/reference/properties/scrollHeight.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the  scrolling height of the &lt;EMBED&gt;.|
|null|,|scrollLeft|,|/workshop/author/dhtml/reference/properties/scrollLeft.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the distance between the left edge of the &lt;EMBED&gt; and the leftmost portion of the content currently visible in the window.|
|null|,|scrollTop|,|/workshop/author/dhtml/reference/properties/scrollTop.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the distance between the top of the &lt;EMBED&gt; and the topmost portion of the content currently visible in the window.|
|null|,|scrollWidth|,|/workshop/author/dhtml/reference/properties/scrollWidth.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the scrolling width of the &lt;EMBED&gt;.|
|null|,|sourceIndex|,|/workshop/author/dhtml/reference/properties/sourceIndex.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the ordinal position of the &lt;EMBED&gt;, in source order, as the &lt;EMBED&gt; appears in the <A HREF="/workshop/author/dhtml/reference/collections/all.htm#all">all</A> collection.|
|SRC|,|src|,|/workshop/author/dhtml/reference/properties/src_2.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves a URL to be loaded by the &lt;EMBED&gt;.|
|null|,|style|,|/workshop/author/dhtml/reference/objects/obj_style.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,1,|Represents the current settings of all possible inline styles for a given element.|
|TABINDEX|,|tabIndex|,|/workshop/author/dhtml/reference/properties/tabIndex.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the index within the tab selection order of the &lt;EMBED&gt;.|
|null|,|tagName|,|/workshop/author/dhtml/reference/properties/tagName.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the tag name of the &lt;EMBED&gt;.|
|null|,|tagUrn|,|/workshop/author/dhtml/reference/properties/tagUrn.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the Uniform Resource Name (URN) specified in the namespace declaration.|
|TITLE|,|title|,|/workshop/author/dhtml/reference/properties/title_1.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves advisory information (a ToolTip) for the &lt;EMBED&gt;.|
|null|,|uniqueID|,|/workshop/author/dhtml/reference/properties/uniqueID.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves an auto-generated, unique identifier for the &lt;EMBED&gt;.|
|UNITS|,|units|,|/workshop/author/dhtml/reference/properties/units.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the height and width units of the EMBED object.|
|WIDTH|,|width|,|/workshop/author/dhtml/reference/properties/width_1.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the calculated width of the &lt;EMBED&gt;.|
|null|,|onbeforecut|,|/workshop/author/dhtml/reference/events/onbeforecut.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires on the source object before the selection is deleted from the document.|
|null|,|onbeforepaste|,|/workshop/author/dhtml/reference/events/onbeforepaste.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires on the target object before the selection is pasted from the system clipboard to the document.|
|null|,|onblur|,|/workshop/author/dhtml/reference/events/onblur.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the &lt;EMBED&gt; loses the input focus.|
|null|,|onclick|,|/workshop/author/dhtml/reference/events/onclick.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user clicks the left mouse button on the &lt;EMBED&gt;.|
|null|,|oncontextmenu|,|/workshop/author/dhtml/reference/events/oncontextmenu.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user clicks the right mouse button in the client area, opening the context menu.|
|null|,|oncut|,|/workshop/author/dhtml/reference/events/oncut.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires on the source element when the &lt;EMBED&gt; or selection is removed from the document and added to the system clipboard.|
|null|,|ondblclick|,|/workshop/author/dhtml/reference/events/ondblclick.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user double-clicks the &lt;EMBED&gt;.|
|null|,|onfocus|,|/workshop/author/dhtml/reference/events/onfocus.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the &lt;EMBED&gt; receives the focus.|
|null|,|onhelp|,|/workshop/author/dhtml/reference/events/onhelp.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user presses the F1 key while the browser is the active window.|
|null|,|onload|,|/workshop/author/dhtml/reference/events/onload.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires immediately after the browser loads the &lt;EMBED&gt;.|
|null|,|onlosecapture|,|/workshop/author/dhtml/reference/events/onlosecapture.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the &lt;EMBED&gt; loses the mouse capture.|
|null|,|onmousedown|,|/workshop/author/dhtml/reference/events/onmousedown.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user clicks the &lt;EMBED&gt; with either mouse button.|
|null|,|onmousemove|,|/workshop/author/dhtml/reference/events/onmousemove.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user moves the mouse over the &lt;EMBED&gt;.|
|null|,|onmouseout|,|/workshop/author/dhtml/reference/events/onmouseout.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user moves the mouse pointer outside the boundaries of the &lt;EMBED&gt;.|
|null|,|onmouseover|,|/workshop/author/dhtml/reference/events/onmouseover.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user moves the mouse pointer into the &lt;EMBED&gt;.|
|null|,|onmouseup|,|/workshop/author/dhtml/reference/events/onmouseup.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user releases a mouse button while the mouse is over the &lt;EMBED&gt;.|
|null|,|onpaste|,|/workshop/author/dhtml/reference/events/onpaste.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires on the target object when the user pastes data, transferring the data from the system clipboard to the document.|
|null|,|onpropertychange|,|/workshop/author/dhtml/reference/events/onpropertychange.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when a property changes on the &lt;EMBED&gt;.|
|null|,|onreadystatechange|,|/workshop/author/dhtml/reference/events/onreadystatechange.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the state of &lt;EMBED&gt; has changed.|
|null|,|onresize|,|/workshop/author/dhtml/reference/events/onresize.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the size of the &lt;EMBED&gt; is about to change.|
|null|,|onscroll|,|/workshop/author/dhtml/reference/events/onscroll.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user repositions the scroll box in the scroll bar on the &lt;EMBED&gt;.|
